"ids","r2","r3","r4","r5","name"
"1421413_a_at",0.56,0.76,1.28,1.35,"Enh-pending"
"1427996_at",1.02,0.98,1.34,0.75,"L259"
"1423110_at",0.95,0.91,1.02,1.65,"Col1a2"
"1418504_at",0.96,1.08,0.8,1.31,"Hspa9a"
"1448816_at",1.34,1.11,0.84,0.69,"Ptgis"
"1448949_at",0.83,1.72,0.75,1.3,"Car4"
"1416927_at",0.86,0.75,1.32,1.14,"Stinp"
"1454159_a_at",1.09,1.46,0.83,1.04,"Igfbp2"
"1455061_a_at",0.68,1.16,0.79,1.59,"Acaa2"
"1435567_at",1.36,1.07,0.98,0.84,"Phka1"
"1421929_at",0.72,1.62,0.45,1.22,"Epha4"
"1460187_at",0.82,0.84,1.12,2.08,"Sfrp1"
"1423288_s_at",1.71,0.91,1.06,0.79,"Cbln1"
"1416526_a_at",1.39,0.81,1.19,0.52,"Park7"
"1448459_at",1.11,0.9,1.93,0.77,"Kcnip1"
"1433444_at",0.98,1.19,0.92,1.39,"Hmgcs1"
"1416114_at",0.84,0.95,1.66,0.99,"Sparcl1"
"1423753_at",1.21,0.97,0.53,1.1,"Bambi"
"1417930_at",0.31,1.73,0.51,1.93,"Nab2"
"1439144_at",1,1.07,0.46,1.07,"2610528C06Rik"
"1451047_at",1.08,1,0.82,1.6,"Itm2a"
"1426215_at",1.08,1.38,0.83,0.88,"Ddc"
"1416741_at",0.53,1.23,0.52,2.53,"Col5a1"
"1448383_at",0.81,0.99,1.02,1.58,"Mmp14"
"1421715_at",1.02,0.97,1.31,0.95,"LOC56544"
"1425158_at",1,0.96,1.36,0.73,"Tbx20"
"1422862_at",0.3,1.2,1.14,1.07,"Enh-pending"
"1418139_at",1.21,1.08,0.96,0.55,"Dcx"
"1427257_at",0.88,0.81,1.02,1.95,"Cspg2"
"1430127_a_at",0.86,1.11,0.74,1.55,"Ccnd2"
"1424594_at",0.87,1.09,1.32,0.77,"Lgals7"
"1460549_a_at",0.85,1.27,0.85,1.41,"Kif20a"
"1421840_at",0.66,0.96,1.28,1.49,"Abca1"
"1449563_at",1.11,0.94,1.33,0.76,"Cntn1"
"1427023_at",0.87,0.85,1.48,1.13,"4921522K17Rik"
"1421203_at",1.32,1.08,0.94,0.79,"Chrna4"
"1424343_a_at",0.85,1.27,0.78,1.32,"Eif1a"
"1423537_at",1.46,0.92,1.19,0.51,"Gap43"
"1423621_a_at",0.68,1.34,0.75,1.11,"Slc33a1"
"1421835_at",0.55,1.27,0.76,2.02,"Mtap7"
"1426968_a_at",0.84,0.92,1.13,1.6,"3110069K09Rik"
"1434479_at",0.87,1,0.99,1.71,"Col5a1"
"1434793_at",0.79,1.09,0.83,1.33,"MGC38950"
"1416740_at",0.84,1.15,0.79,1.8,"Col5a1"
"1422720_at",1.66,0.85,1.07,0.65,"Isl1"
"1452510_at",0.94,1.51,0.86,0.91,"Pax7"
"1451335_at",0.98,0.91,0.97,2.05,"Plac8"
"1420937_at",0.77,1.14,0.82,1.33,"Cpsf2"
"1451794_at",0.86,0.82,1.61,1.14,"MGC30586"
"1421101_a_at",1.51,1.09,1.01,0.66,"Ldb2"
"1449070_x_at",1.31,1.58,0.58,0.83,"EIG180"
"1425377_at",0.86,1.51,0.97,0.99,"Wnt1"
"1419086_at",1.49,0.96,0.99,0.64,"Fgfbp1"
"1450992_a_at",0.96,1.36,0.79,0.99,"Meis1"
"1452141_a_at",1.14,0.94,0.76,1.73,"Sepp1"
"1451870_a_at",1.37,0.5,1.03,1.15,"Brd4"
"1417494_a_at",1,1.2,0.39,0.94,"Cp"
"1428130_at",0.79,1.28,0.82,1.66,"Lman1"
"1449912_at",1.52,0.69,1.26,0.72,"4930414C09Rik"
"1415806_at",0.9,1.15,0.86,1.67,"Plat"
"1455089_at",0.85,0.99,0.85,1.59,"2010305F15Rik"
"1415855_at",0.95,0.57,1.01,2.03,"Kitl"
"1421027_a_at",0.32,0.83,1.36,1.18,"Mef2c"
"1428346_at",1.3,1.16,0.78,0.9,"Fln29-pending"
"1420377_at",1,0.99,1.33,0.82,"Siat8b"
"1423890_x_at",1.2,1.33,0.86,0.84,"Atp1b1"
"1423836_at",0.73,1.36,0.69,1.29,"B830002A16Rik"
